[2015:12:07-22:32:29] cmd: 1, targetTemp: 95.0, temp: 59.6, elapsed time: 0m 0s, line Time: 5s, protocol Time: 35s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 1741.0
[2015:12:07-22:32:30] cmd: 1, targetTemp: 95.0, temp: 78.6, elapsed time: 0m 1s, line Time: 5s, protocol Time: 35s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 1734.0
[2015:12:07-22:33:05] cmd: 1, targetTemp: 95.0, temp: 63.3, elapsed time: 0m 0s, line Time: 5s, protocol Time: 35s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 1788.0
[2015:12:07-22:33:06] cmd: 1, targetTemp: 95.0, temp: 82.4, elapsed time: 0m 1s, line Time: 5s, protocol Time: 35s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 1833.0
[2015:12:07-22:33:07] cmd: 1, targetTemp: 95.0, temp: 98.8, elapsed time: 0m 2s, line Time: 4s, protocol Time: 34s, device TargetArr: 0, mfc TargetArr: 1, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 0.0
[2015:12:07-22:33:08] cmd: 1, targetTemp: 95.0, temp: 96.8, elapsed time: 0m 3s, line Time: 3s, protocol Time: 33s, device TargetArr: 0, mfc TargetArr: 1, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 0.0
[2015:12:07-22:33:09] cmd: 1, targetTemp: 95.0, temp: 94.4, elapsed time: 0m 4s, line Time: 2s, protocol Time: 32s, device TargetArr: 0, mfc TargetArr: 1, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 0.0
[2015:12:07-22:33:10] cmd: 1, targetTemp: 95.0, temp: 95.8, elapsed time: 0m 5s, line Time: 1s, protocol Time: 31s, device TargetArr: 0, mfc TargetArr: 1, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 1770.0
[2015:12:07-22:33:11] cmd: 1, targetTemp: 95.0, temp: 94.9, elapsed time: 0m 6s, line Time: 0s, protocol Time: 30s, device TargetArr: 0, mfc TargetArr: 1, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 2064.0
[2015:12:07-22:33:12] cmd: 1, targetTemp: 60.0, temp: 94.9, elapsed time: 0m 7s, line Time: 5s, protocol Time: 30s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 1, photodiode: 1759.0
[2015:12:07-22:33:13] cmd: 1, targetTemp: 60.0, temp: 87.1, elapsed time: 0m 8s, line Time: 5s, protocol Time: 30s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 1, photodiode: 1689.0
[2015:12:07-22:33:14] cmd: 1, targetTemp: 60.0, temp: 77.6, elapsed time: 0m 9s, line Time: 5s, protocol Time: 30s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 1, photodiode: 1640.0
[2015:12:07-22:33:15] cmd: 1, targetTemp: 60.0, temp: 71.2, elapsed time: 0m 10s, line Time: 5s, protocol Time: 30s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 1, photodiode: 1564.0
[2015:12:07-22:33:16] cmd: 1, targetTemp: 60.0, temp: 66.5, elapsed time: 0m 11s, line Time: 5s, protocol Time: 30s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 1, photodiode: 1503.0
