Number	Time	Temperature
     1	      20	0.0
     2	      71	0.0
     3	     120	0.0
     4	     170	0.0
     5	     221	0.0
     6	     270	0.0
     7	     321	0.0
     8	     370	0.0
     9	     420	0.0
    10	     471	0.0
    11	     520	0.0
    12	     570	0.0
    13	     620	0.0
    14	     670	0.0
    15	     720	0.0
    16	     770	0.0
    17	     820	0.0
    18	     870	0.0
    19	     920	0.0
    20	     970	0.0
    21	    1020	0.0
    22	    1070	0.0
    23	    1120	0.0
    24	    1170	0.0
    25	    1221	0.0
    26	    1270	0.0
    27	    1320	0.0
    28	    1370	0.0
    29	    1420	0.0
    30	    1470	0.0
    31	    1520	0.0
    32	    1570	0.0
    33	    1620	0.0
    34	    1672	0.0
    35	    1720	0.0
    36	    1770	0.0
    37	    1820	0.0
    38	    1870	0.0
    39	    1920	0.0
    40	    1971	0.0
    41	    2020	0.0
    42	    2070	0.0
    43	    2120	0.0
    44	    2171	0.0
    45	    2220	0.0
    46	    2270	0.0
    47	    2324	0.0
    48	    2371	0.0
    49	    2421	0.0
    50	    2470	0.0
    51	    2520	0.0
    52	    2570	0.0
    53	    2620	0.0
    54	    2670	0.0
    55	    2720	0.0
    56	    2770	0.0
    57	    2820	0.0
    58	    2870	0.0
    59	    2920	0.0
    60	    2970	0.0
    61	    3020	0.0
    62	    3070	0.0
    63	    3121	0.0
    64	    3170	0.0
    65	    3220	0.0
    66	    3270	0.0
    67	    3320	0.0
    68	    3370	0.0
    69	    3420	0.0
    70	    3470	0.0
    71	    3520	0.0
    72	    3570	0.0
    73	    3620	0.0
    74	    3670	0.0
    75	    3720	0.0
    76	    3770	0.0
    77	    3820	0.0
    78	    3870	0.0
    79	    3920	0.0
    80	    3970	0.0
    81	    4020	0.0
    82	    4070	0.0
    83	    4120	0.0
    84	    4170	0.0
    85	    4220	0.0
    86	    4271	0.0
    87	    4320	0.0
    88	    4371	0.0
    89	    4420	0.0
    90	    4470	0.0
    91	    4520	0.0
    92	    4570	0.0
    93	    4620	0.0
    94	    4670	0.0
    95	    4720	0.0
    96	    4770	0.0
    97	    4820	0.0
    98	    4870	0.0
    99	    4920	0.0
   100	    4970	0.0
   101	    5020	0.0
   102	    5070	0.0
   103	    5120	0.0
   104	    5170	0.0
   105	    5220	0.0
   106	    5270	0.0
   107	    5320	0.0
   108	    5370	0.0
   109	    5420	0.0
   110	    5470	0.0
   111	    5520	0.0
   112	    5570	0.0
   113	    5620	0.0
   114	    5670	0.0
   115	    5720	0.0
   116	    5770	0.0
   117	    5820	0.0
   118	    5870	0.0
   119	    5920	0.0
   120	    5970	0.0
   121	    6020	0.0
   122	    6070	0.0
   123	    6120	0.0
   124	    6171	0.0
   125	    6220	0.0
   126	    6270	0.0
   127	    6320	0.0
   128	    6370	0.0
   129	    6420	0.0
   130	    6470	0.0
   131	    6520	0.0
   132	    6570	0.0
   133	    6620	0.0
   134	    6670	0.0
   135	    6720	0.0
   136	    6770	0.0
   137	    6820	0.0
   138	    6870	0.0
   139	    6920	0.0
