Cycle	Time	Value
     1	      40	0.0
     2	      91	0.0
     3	     140	0.0
     4	     190	0.0
     5	     240	0.0
     6	     290	0.0
     7	     341	0.0
     8	     390	0.0
     9	     440	0.0
    10	     490	0.0
    11	     540	0.0
    12	     590	0.0
    13	     640	0.0
    14	     690	0.0
    15	     740	0.0
    16	     790	0.0
    17	     840	0.0
    18	     890	0.0
    19	     941	0.0
    20	     990	0.0
    21	    1040	0.0
    22	    1090	0.0
    23	    1140	0.0
    24	    1190	0.0
    25	    1240	0.0
    26	    1290	0.0
    27	    1340	0.0
    28	    1390	0.0
    29	    1440	0.0
    30	    1490	0.0
    31	    1540	0.0
    32	    1590	0.0
    33	    1640	0.0
    34	    1690	0.0
    35	    1740	0.0
    36	    1790	0.0
    37	    1840	0.0
    38	    1890	0.0
    39	    1940	0.0
    40	    1990	0.0
    41	    2040	0.0
    42	    2089	0.0
    43	    2140	0.0
    44	    2190	0.0
    45	    2240	0.0
    46	    2289	0.0
    47	    2339	0.0
    48	    2390	0.0
    49	    2440	0.0
    50	    2490	0.0
    51	    2540	0.0
    52	    2590	0.0
    53	    2640	0.0
    54	    2690	0.0
    55	    2740	0.0
    56	    2791	0.0
    57	    2840	0.0
    58	    2890	0.0
    59	    2940	0.0
    60	    2990	0.0
    61	    3040	0.0
    62	    3090	0.0
    63	    3140	0.0
    64	    3190	0.0
    65	    3240	0.0
    66	    3289	0.0
    67	    3340	0.0
    68	    3390	0.0
    69	    3440	0.0
    70	    3491	0.0
    71	    3543	0.0
    72	    3591	0.0
    73	    3641	0.0
    74	    3691	0.0
    75	    3741	0.0
    76	    3792	0.0
    77	    3841	0.0
    78	    3891	0.0
    79	    3940	0.0
    80	    3990	0.0
    81	    4040	0.0
    82	    4091	0.0
    83	    4140	0.0
    84	    4191	0.0
    85	    4241	0.0
    86	    4291	0.0
    87	    4341	0.0
    88	    4391	0.0
    89	    4441	0.0
    90	    4491	0.0
    91	    4541	0.0
    92	    4590	0.0
    93	    4641	0.0
    94	    4690	0.0
    95	    4741	0.0
    96	    4790	0.0
    97	    4840	0.0
    98	    4890	0.0
    99	    4940	0.0
   100	    4991	0.0
   101	    5041	0.0
   102	    5091	0.0
   103	    5140	0.0
   104	    5190	0.0
   105	    5240	0.0
   106	    5290	0.0
   107	    5340	0.0
   108	    5391	0.0
   109	    5440	0.0
   110	    5490	0.0
   111	    5540	0.0
   112	    5590	0.0
   113	    5641	0.0
   114	    5690	0.0
   115	    5740	0.0
   116	    5790	0.0
   117	    5840	0.0
   118	    5890	0.0
   119	    5940	0.0
   120	    5990	0.0
   121	    6040	0.0
   122	    6090	0.0
   123	    6140	0.0
   124	    6191	0.0
   125	    6240	0.0
   126	    6290	0.0
   127	    6340	0.0
   128	    6391	0.0
   129	    6440	0.0
   130	    6490	0.0
   131	    6540	0.0
   132	    6590	0.0
   133	    6640	0.0
   134	    6691	0.0
   135	    6740	0.0
   136	    6790	0.0
   137	    6840	0.0
   138	    6890	0.0
   139	    6941	0.0
   140	    6990	0.0
   141	    7040	0.0
   142	    7090	0.0
